constituency_id,constituency_name,party,name,votes,share,share change
W09000036,Islwyn,Reform UK,James Wells,421,1.7%,+1.7
W09000017,Llanelli,Labour,Lee Waters,"13,930",46.1%,+9.6
W09000017,Llanelli,Plaid Cymru,Helen Mary Jones,"8,255",27.3%,-7.9
W09000017,Llanelli,Conservative,Stefan Ryszewski,"4,947",16.4%,+9.5
W09000017,Llanelli,UK Independence Party,Howard Lillyman,722,2.4%,-12.3
W09000017,Llanelli,Reform UK,Gareth Beer,672,2.2%,+2.2
W09000017,Llanelli,Liberal Democrat,Jonathan Burree,606,2.0%,+0.7
W09000017,Llanelli,Gwlad,Si̢n Caiach,544,1.8%,+1.8
W09000017,Llanelli,Independent,Shahana Najmi,542,1.8%,+1.8
W09000044,Merthyr Tydfil & Rhymney,Labour,Dawn Bowden,"13,009",61.5%,+14.3
W09000044,Merthyr Tydfil & Rhymney,Plaid Cymru,Ian Gwynne,"3,698",17.5%,-0.5
W09000044,Merthyr Tydfil & Rhymney,Conservative,Donna Gavin,"2,665",12.6%,+6.2
W09000044,Merthyr Tydfil & Rhymney,Abolish the Welsh Assembly Party,Hugh Moelwyn Hughes,656,3.1%,+3.1
W09000044,Merthyr Tydfil & Rhymney,Liberal Democrat,Jez Becker,420,2.0%,-3.4
W09000044,Merthyr Tydfil & Rhymney,UK Independence Party,George Alexandrov Pykov,382,1.8%,-18.9
W09000044,Merthyr Tydfil & Rhymney,Reform UK,Colin David Jones,324,1.5%,+1.5
W09000034,Monmouth,Conservative,Peter Fox,"15,332",42.7%,-0.6
W09000034,Monmouth,Labour,Catrin Maby,"11,487",32.0%,+5.1
W09000034,Monmouth,Plaid Cymru,Hugh Kocan,"2,085",5.8%,0.0
W09000034,Monmouth,Green,Ian Roy Chandler,"2,000",5.6%,+2.7
W09000034,Monmouth,Liberal Democrat,Jo Watkins,"1,892",5.3%,+0.6
W09000034,Monmouth,Independent,Nick Ramsay,"1,293",3.6%,+3.6
W09000034,Monmouth,Abolish the Welsh Assembly Party,Mark Reckless,"1,174",3.3%,+3.3
W09000034,Monmouth,Reform UK,Susan Boucher,349,1.0%,+1.0
W09000034,Monmouth,Freedom Alliance,Elspeth Agnes Pearl Hill,181,0.5%,+0.5
W09000034,Monmouth,Gwlad,Laurence Williams,90,0.3%,+0.3
W09000011,Montgomeryshire,Conservative,Russell George,"12,013",48.1%,+6.3
W09000011,Montgomeryshire,Plaid Cymru,Elwyn Vaughan,"4,485",17.9%,+7.7
W09000011,Montgomeryshire,Liberal Democrat,Alison Alexander,"4,207",16.8%,-10.9
W09000011,Montgomeryshire,Labour,Kait Duerden,"3,576",14.3%,+8.4
W09000011,Montgomeryshire,Reform UK,Oliver Lewis,549,2.2%,+2.2
W09000011,Montgomeryshire,Gwlad,Gwyn Wigley Evans,157,0.6%,+0.6
W09000021,Neath,Labour,Jeremy Miles,"11,666",42.3%,+5.0
W09000021,Neath,Plaid Cymru,Sioned Williams,"6,445",23.4%,-2.4
W09000021,Neath,Conservative,Mathew Williams,"4,107",14.9%,+6.3
W09000021,Neath,Independent,Steve Hunt,"2,418",8.8%,+8.8
W09000021,Neath,Green,Megan Poppy Lloyd,"1,038",3.8%,+1.5
W09000021,Neath,Abolish the Welsh Assembly Party,Simon Anthony Rees,751,2.7%,+2.7
W09000021,Neath,Propel,James Henton,443,1.6%,+1.6
W09000021,Neath,Liberal Democrat,Iain Clamp,395,1.4%,-1.5
W09000021,Neath,Reform UK,Sean Prior,315,1.1%,+1.1
W09000040,Newport East,Labour,John Griffiths,"10,899",47.1%,+2.5
W09000040,Newport East,Conservative,Gareth Rhys Hughes,"7,315",31.6%,+13.4
W09000040,Newport East,Plaid Cymru,Daniel Llewelyn,"1,844",8.0%,+1.3
W09000040,Newport East,Liberal Democrat,Mike Hamilton,"1,574",6.8%,-0.4
W09000040,Newport East,Abolish the Welsh Assembly Party,Robert Steed,660,2.9%,+2.9
W09000040,Newport East,UK Independence Party,Benjamin Walker,368,1.6%,-19.3
W09000040,Newport East,Reform UK,David Rowlands,328,1.4%,+1.4
W09000040,Newport East,Freedom Alliance,Sonya Cary,161,0.7%,+0.7
W09000039,Newport West,Labour,Jayne Bryant,"14,259",48.2%,+4.4
W09000039,Newport West,Conservative,Michael Enea,"10,353",35.0%,+6.0
W09000039,Newport West,Plaid Cymru,Jonathan Clark,"2,076",7.0%,+1.1
W09000039,Newport West,Green,Amelia Womack,"1,314",4.4%,+1.5
W09000039,Newport West,Liberal Democrat,John Miller,882,3.0%,-0.2
W09000039,Newport West,Reform UK,Kevin Anthony Boucher,486,1.6%,+1.6
W09000039,Newport West,Freedom Alliance,Steve Walter Marsh,228,0.8%,+0.8
W09000045,Ogmore,Labour,Huw Irranca-Davies,"12,868",52.5%,-2.7
W09000045,Ogmore,Plaid Cymru,Luke Fletcher,"4,703",19.2%,+4.5
W09000045,Ogmore,Conservative,Nathan Adams,"4,579",18.7%,+7.6
W09000045,Ogmore,Abolish the Welsh Assembly Party,Robin James Hunter-Clarke,660,2.7%,+2.7
W09000045,Ogmore,Propel,Tim Thomas,625,2.6%,+2.6
W09000045,Ogmore,Reform UK,Glenda Davies,618,2.5%,+2.5
W09000045,Ogmore,Liberal Democrat,Cameron Shippam,441,1.8%,-1.2
W09000046,Pontypridd,Labour,Mick Antoniw,"11,511",41.8%,+2.4
W09000046,Pontypridd,Plaid Cymru,Heledd Fychan,"6,183",22.4%,+4.0
W09000046,Pontypridd,Conservative,Joel James,"5,658",20.5%,+5.2
W09000046,Pontypridd,Independent,Wayne Owen,"1,678",6.1%,+6.1
W09000046,Pontypridd,Abolish the Welsh Assembly Party,Michael Hughes,785,2.8%,+2.8
W09000046,Pontypridd,Green,Ken Barker,655,2.4%,+0.4
W09000046,Pontypridd,Liberal Democrat,Steven Rajam,628,2.3%,-9.5
W09000046,Pontypridd,Reform UK,Jamie Jenkins,458,1.7%,+1.7
W09000014,Preseli Pembrokeshire,Conservative,Paul Davies,"12,295",39.0%,-0.2
W09000014,Preseli Pembrokeshire,Labour,Jackie Jones,"10,895",34.6%,+9.3
W09000014,Preseli Pembrokeshire,Plaid Cymru,Cris Tomos,"6,135",19.5%,+5.6
W09000014,Preseli Pembrokeshire,Reform UK,William Alan Dennison,"1,239",3.9%,+3.9
W09000014,Preseli Pembrokeshire,Liberal Democrat,Tina Roberts,952,3.0%,-2.9
W09000025,Rhondda,Labour,Elizabeth Buffy Williams,"12,832",54.7%,+18.8
W09000025,Rhondda,Plaid Cymru,Leanne Wood,"7,335",31.3%,-19.3
W09000025,Rhondda,Conservative,Tom Parkhill,"1,490",6.4%,+4.2
W09000025,Rhondda,Propel,Jeff Gregory,525,2.2%,+2.2
W09000025,Rhondda,Abolish the Welsh Assembly Party,Ian McLean,430,1.8%,+1.8
W09000025,Rhondda,Reform UK,Steve Bayliss,355,1.5%,+1.5
W09000025,Rhondda,Freedom Alliance,Steven Phillips,291,1.2%,+1.2
W09000025,Rhondda,Liberal Democrat,Jackie Charlton,200,0.9%,+0.2
W09000020,Swansea East,Labour,Mike Hedges,"12,950",60.1%,+8.0
W09000020,Swansea East,Plaid Cymru,Rhiannon Barrar,"3,250",15.1%,+1.8
W09000020,Swansea East,Conservative,Cameron Brennan,"2,947",13.7%,+5.3
W09000020,Swansea East,Liberal Democrat,Sam Bennett,"1,055",4.9%,-2.7
W09000020,Swansea East,UK Independence Party,Dan Morgan,567,2.6%,-13.3
W09000020,Swansea East,Abolish the Welsh Assembly Party,Cameron Owen Edwards,484,2.2%,+2.2
W09000020,Swansea East,Reform UK,Darren Rees,295,1.4%,+1.4
W09000019,Swansea West,Labour,Julie James,"11,126",46.4%,+5.8
W09000019,Swansea West,Conservative,Samantha Chohan,"4,605",19.2%,+1.5
W09000019,Swansea West,Plaid Cymru,Dai Lloyd,"3,910",16.3%,+1.8
W09000019,Swansea West,Liberal Democrat,Chloe Hutchinson,"1,645",6.9%,-2.2
W09000019,Swansea West,Green,Chris Evans,"1,109",4.6%,+0.6
W09000019,Swansea West,Abolish the Welsh Assembly Party,James Cole,866,3.6%,+3.6
W09000019,Swansea West,Freedom Alliance,Michelle Karen Valerio,295,1.2%,+1.2
W09000019,Swansea West,Reform UK,Bernard Holton,250,1.0%,+1.0
W09000019,Swansea West,Propel,Katon Bouzalakos,189,0.8%,+0.8
W09000037,Torfaen,Labour,Lynne Neagle,"11,572",48.3%,+6.1
W09000037,Torfaen,Conservative,Gruff Parry,"6,251",26.1%,+9.0
W09000037,Torfaen,Plaid Cymru,Lyn Ackerman,"2,564",10.7%,-1.7
W09000037,Torfaen,Liberal Democrat,Veronica German,"1,180",4.9%,+2.2
W09000037,Torfaen,UK Independence Party,Thomas George Harrison,895,3.7%,-18.9
W09000037,Torfaen,Reform UK,Ian Michael Williams,730,3.0%,+3.0
W09000037,Torfaen,Freedom Alliance,Mathew Francis Ross-Francome,522,2.2%,+2.2
W09000037,Torfaen,Gwlad,Ryan Williams,239,1.0%,+1.0
W09000005,Vale of Clwyd,Conservative,Gareth Davies,"10,792",41.4%,+5.0
W09000005,Vale of Clwyd,Labour,Jason McLellan,"10,426",40.0%,+0.5
W09000005,Vale of Clwyd,Plaid Cymru,Glenn Swingler,"2,972",11.4%,+2.7
W09000005,Vale of Clwyd,Liberal Democrat,Lisa Jane,782,3.0%,-0.1
W09000005,Vale of Clwyd,Reform UK,Peter Dain,552,2.1%,+2.1
W09000005,Vale of Clwyd,Independent,David Thomas,529,2.0%,+2.0
W09000047,Vale of Glamorgan,Labour,Jane Hutt,"18,667",43.5%,+4.7
W09000047,Vale of Glamorgan,Conservative,Matt Smith,"15,397",35.9%,-0.8
W09000047,Vale of Glamorgan,Plaid Cymru,Richard Grigg,"3,699",8.6%,-1.6
W09000047,Vale of Glamorgan,Abolish the Welsh Assembly Party,Stuart Field,"1,394",3.3%,+3.3
W09000047,Vale of Glamorgan,Green,Anthony Slaughter,"1,262",2.9%,+0.8
W09000047,Vale of Glamorgan,Liberal Democrat,Sally Stephenson,994,2.3%,-0.2
W09000047,Vale of Glamorgan,Propel,Janet Deborah Brocklehurst,426,1.0%,+1.0
W09000047,Vale of Glamorgan,Reform UK,Michael Hancock,416,1.0%,+1.0
W09000047,Vale of Glamorgan,Independent,Alan Terence Coulthard,237,0.6%,+0.6
W09000047,Vale of Glamorgan,Freedom Alliance,Neill Vasudeo Shah,226,0.5%,+0.5
W09000047,Vale of Glamorgan,Gwlad,Karl-James Langford,174,0.4%,+0.4
W09000008,Wrexham,Labour,Lesley Griffiths,"8,452",37.4%,+0.3
W09000008,Wrexham,Conservative,Jeremy Kent,"7,102",31.4%,+0.8
W09000008,Wrexham,Plaid Cymru,Carrie Harper,"4,832",21.4%,+8.5
W09000008,Wrexham,Abolish the Welsh Assembly Party,Paul Ashton,790,3.5%,+3.5
W09000008,Wrexham,Liberal Democrat,Timothy Sly,755,3.3%,-2.3
W09000008,Wrexham,UK Independence Party,Sebastian Ross,378,1.7%,-10.1
W09000008,Wrexham,Reform UK,Charles William Henry Dodman,187,0.8%,+0.8
W09000008,Wrexham,Gwlad,Aaron Norton,110,0.5%,+0.5
W09000001,Ynys Mon,Plaid Cymru,Rhun ap Iorwerth,"15,506",55.9%,+1.1
W09000001,Ynys Mon,Conservative,Lyn Hudson,"5,689",20.5%,+9.0
W09000001,Ynys Mon,Labour,Sam Egelstaff,"5,300",19.1%,+2.1
W09000001,Ynys Mon,Reform UK,Emmett Jenner,692,2.5%,+2.5
W09000001,Ynys Mon,Liberal Democrat,Christopher Jones,547,2.0%,+0.7
